Title,HCO,Subheading,Street,City,State,GIP,Accreditation,Accreditation Decision,Effective Date,Last Full Survey Date,Last On-Site Survey Date
Alta Verdugo Consulting Inc.,385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,10/29/2022,10/28/2022,10/28/2022
"Silverado Hospice, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,10/8/2022,10/7/2022,10/7/2022
"A to Z Home Health, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,9/22/2023,9/21/2023,9/21/2023
"Evergreen Hospice Care, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,7/1/2023,6/30/2023,6/30/2023
"Silverado Hospice, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,4/9/2022,4/8/2022,4/8/2022
"Central Coast Home Health, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,4/22/2023,4/21/2023,4/21/2023
Central Coast Home Health Inc.,,,"2120 Golden Hill Road, Suite 203",Paso Robles, CA, 93446,,,,,
"Central Coast Home Health, Inc.",,,"4213 State Street, #202",Santa Barbara, CA, 93110,,,,,
"Central Coast Home Health, Inc.",,,"243 Granada Dr., Ste A",San Luis Obispo, CA, 93401,,,,,
"Central Coast Home Health, Inc.",,,"181 Tank Farm Rd., ste 120",San Luis Obispo, CA, 93401,,,,,
"Liberty Health Services, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,1/11/2023,12/15/2023,12/15/2023
"Uni Care Home Health, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,3/11/2022,3/10/2022,6/3/2022
"Faith & Hope Hospice Care, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,7/2/2022,7/1/2022,7/1/2022
Mission Hospice & Home Care,385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,5/6/2023,5/5/2023,5/5/2023
Mission Hospice & Home Care,,,"1688 Willow Street, Suite A-2",San Jose, CA, 95125,,,,,
"Asherah Home & Palliative Care, Inc.",385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,9/30/2022,9/29/2022,9/29/2022
Matrix Health Promotion,385617,,4170 Verdugo Road,Los Angeles,CA,90065,Home Care,Accredited,11/11/2022,11/10/2022,11/10/2022
